;PC Software:StarLab Version 3.31 Build 2
! ******* Warning: Do not modify this file. Changes may prevent   ********
! ******* the StarLab Log reader from opening the file correctly. ********
;Logged:09/02/2024 at 07:45:28
;File Version:5
;Time Resolution:1 microseconds
;Log Settings:Stop after:period: 00:07:30
;Graph Mode:Merge
;Graph Type:Line
;Notes:                                                            

;Channel A:Nova II Thermopile F150A-BB-26 (s/n:764799)  NN2.55 (s/n:756294)

;Channel A:Details
;Name:F150A-BB-26
;Graph Color:RGB(14,104,168)
;Units:W
;Settings:Measuring:Power
;Settings:Laser:.8-6
;Settings:Range:30.0W

;Channel A:Statistics
;Min:-10.00mW            
;Max:13.06W              
;Average:11.91W              
;Std.Dev.:1.286W              
;Overrange:0                   
;--------------------


;First Pulse Arrived : 09/02/2024 at 07:45:29.179000
  Timestamp   	  Channel A  	
         0.000	 -1.000e-002 	
         0.064	 -1.000e-002 	
         0.127	 -1.000e-002 	
         0.191	 -1.000e-002 	
         0.255	 -1.000e-002 	
         0.319	 -1.000e-002 	
         0.383	 -1.000e-002 	
         0.447	 -1.000e-002 	
         0.512	 -1.000e-002 	
         0.576	 -1.000e-002 	
         0.639	 -1.000e-002 	
         0.703	 -1.000e-002 	
         0.767	 -1.000e-002 	
         0.831	 -1.000e-002 	
         0.895	 -1.000e-002 	
         0.959	 -1.000e-002 	
         1.023	 -1.000e-002 	
         1.088	 -1.000e-002 	
         1.152	 -1.000e-002 	
         1.215	 -1.000e-002 	
         1.279	 -1.000e-002 	
         1.343	 -1.000e-002 	
         1.407	 -1.000e-002 	
         1.504	 -1.000e-002 	
         1.567	 -1.000e-002 	
         1.631	 -1.000e-002 	
         1.695	 -1.000e-002 	
         1.759	 -1.000e-002 	
         1.823	 -1.000e-002 	
         1.887	 -1.000e-002 	
         1.951	 -1.000e-002 	
         2.016	 -1.000e-002 	
         2.079	 -1.000e-002 	
         2.143	 -1.000e-002 	
         2.207	 -1.000e-002 	
         2.303	 -1.000e-002 	
         2.367	 -1.000e-002 	
         2.431	 -1.000e-002 	
         2.495	 -1.000e-002 	
         2.560	 -1.000e-002 	
         2.623	 -1.000e-002 	
         2.688	 -1.000e-002 	
         2.752	 -1.000e-002 	
         2.815	 -1.000e-002 	
         2.879	 -1.000e-002 	
         2.943	 -1.000e-002 	
         3.008	 -1.000e-002 	
         3.103	 -1.000e-002 	
         3.167	 -1.000e-002 	
         3.231	 -1.000e-002 	
         3.295	 -1.000e-002 	
         3.359	 -1.000e-002 	
         3.424	 -1.000e-002 	
         3.487	 -1.000e-002 	
         3.552	 -1.000e-002 	
         3.615	 -1.000e-002 	
         3.680	 -1.000e-002 	
         3.743	 -1.000e-002 	
         3.807	 -1.000e-002 	
         3.903	 -1.000e-002 	
         3.967	 -1.000e-002 	
         4.032	 -1.000e-002 	
         4.095	 -1.000e-002 	
         4.159	  2.000e-002 	
         4.223	  1.200e-001 	
         4.287	  3.300e-001 	
         4.351	  6.600e-001 	
         4.415	  1.120e+000 	
         4.479	  1.700e+000 	
         4.543	  2.360e+000 	
         4.607	  3.100e+000 	
         4.703	  3.870e+000 	
         4.767	  4.670e+000 	
         4.832	  5.460e+000 	
         4.895	  6.240e+000 	
         4.959	  6.980e+000 	
         5.024	  7.690e+000 	
         5.088	  8.340e+000 	
         5.152	  8.940e+000 	
         5.215	  9.490e+000 	
         5.279	  9.980e+000 	
         5.344	  1.042e+001 	
         5.407	  1.081e+001 	
         5.471	  1.115e+001 	
         5.567	  1.144e+001 	
         5.632	  1.169e+001 	
         5.695	  1.191e+001 	
         5.759	  1.209e+001 	
         5.824	  1.225e+001 	
         5.887	  1.237e+001 	
         5.952	  1.248e+001 	
         6.015	  1.256e+001 	
         6.080	  1.263e+001 	
         6.143	  1.268e+001 	
         6.208	  1.272e+001 	
         6.272	  1.275e+001 	
         6.367	  1.277e+001 	
         6.431	  1.279e+001 	
         6.495	  1.280e+001 	
         6.559	  1.280e+001 	
         6.623	  1.280e+001 	
         6.687	  1.280e+001 	
         6.752	  1.280e+001 	
         6.816	  1.279e+001 	
         6.880	  1.278e+001 	
         6.943	  1.278e+001 	
         7.008	  1.277e+001 	
         7.071	  1.276e+001 	
         7.167	  1.275e+001 	
         7.231	  1.275e+001 	
         7.295	  1.274e+001 	
         7.359	  1.274e+001 	
         7.424	  1.274e+001 	
         7.487	  1.273e+001 	
         7.552	  1.273e+001 	
         7.615	  1.273e+001 	
         7.680	  1.273e+001 	
         7.743	  1.273e+001 	
         7.808	  1.272e+001 	
         7.872	  1.272e+001 	
         7.967	  1.272e+001 	
         8.031	  1.272e+001 	
         8.095	  1.272e+001 	
         8.159	  1.272e+001 	
         8.224	  1.272e+001 	
         8.287	  1.272e+001 	
         8.352	  1.272e+001 	
         8.415	  1.272e+001 	
         8.479	  1.273e+001 	
         8.544	  1.273e+001 	
         8.608	  1.274e+001 	
         8.672	  1.274e+001 	
         8.767	  1.275e+001 	
         8.832	  1.275e+001 	
         8.895	  1.276e+001 	
         8.959	  1.276e+001 	
         9.023	  1.276e+001 	
         9.087	  1.277e+001 	
         9.151	  1.277e+001 	
         9.216	  1.278e+001 	
         9.279	  1.278e+001 	
         9.343	  1.278e+001 	
         9.407	  1.279e+001 	
         9.472	  1.279e+001 	
         9.567	  1.279e+001 	
         9.631	  1.279e+001 	
         9.696	  1.279e+001 	
         9.760	  1.280e+001 	
         9.824	  1.280e+001 	
         9.888	  1.280e+001 	
         9.951	  1.280e+001 	
