;PC Software:StarLab Version 3.31 Build 2
! ******* Warning: Do not modify this file. Changes may prevent   ********
! ******* the StarLab Log reader from opening the file correctly. ********
;Logged:09/02/2024 at 09:28:12
;File Version:5
;Time Resolution:1 microseconds
;Log Settings:Stop after:period: 00:07:30
;Graph Mode:Merge
;Graph Type:Line
;Notes:                                                            

;Channel A:Nova II Thermopile F150A-BB-26 (s/n:764799)  NN2.55 (s/n:756294)

;Channel A:Details
;Name:F150A-BB-26
;Graph Color:RGB(14,104,168)
;Units:W
;Settings:Measuring:Power
;Settings:Laser:.8-6
;Settings:Range:30.0W

;Channel A:Statistics
;Min:40.00mW             
;Max:13.44W              
;Average:12.69W              
;Std.Dev.:1.189W              
;Overrange:0                   
;--------------------


;First Pulse Arrived : 09/02/2024 at 09:28:12.882000
  Timestamp   	  Channel A  	
         0.000	  4.000e-002 	
         0.063	  4.000e-002 	
         0.127	  4.000e-002 	
         0.191	  4.000e-002 	
         0.256	  4.000e-002 	
         0.319	  4.000e-002 	
         0.383	  4.000e-002 	
         0.447	  4.000e-002 	
         0.511	  4.000e-002 	
         0.576	  4.000e-002 	
         0.639	  4.000e-002 	
         0.703	  4.000e-002 	
         0.767	  4.000e-002 	
         0.831	  4.000e-002 	
         0.895	  4.000e-002 	
         0.960	  4.000e-002 	
         1.024	  4.000e-002 	
         1.087	  4.000e-002 	
         1.151	  4.000e-002 	
         1.216	  4.000e-002 	
         1.279	  4.000e-002 	
         1.343	  4.000e-002 	
         1.439	  4.000e-002 	
         1.503	  4.000e-002 	
         1.567	  4.000e-002 	
         1.631	  4.000e-002 	
         1.696	  4.000e-002 	
         1.759	  4.000e-002 	
         1.823	  4.000e-002 	
         1.887	  4.000e-002 	
         1.951	  4.000e-002 	
         2.016	  4.000e-002 	
         2.079	  4.000e-002 	
         2.143	  4.000e-002 	
         2.239	  4.000e-002 	
         2.303	  4.000e-002 	
         2.367	  4.000e-002 	
         2.431	  4.000e-002 	
         2.495	  4.000e-002 	
         2.560	  4.000e-002 	
         2.623	  4.000e-002 	
         2.687	  4.000e-002 	
         2.751	  4.000e-002 	
         2.815	  4.000e-002 	
         2.879	  4.000e-002 	
         2.943	  4.000e-002 	
         3.039	  4.000e-002 	
         3.103	  4.000e-002 	
         3.167	  4.000e-002 	
         3.232	  5.000e-002 	
         3.295	  1.000e-001 	
         3.359	  2.300e-001 	
         3.423	  4.700e-001 	
         3.487	  8.400e-001 	
         3.552	  1.330e+000 	
         3.615	  1.940e+000 	
         3.679	  2.630e+000 	
         3.744	  3.390e+000 	
         3.840	  4.180e+000 	
         3.903	  5.000e+000 	
         3.968	  5.810e+000 	
         4.032	  6.600e+000 	
         4.095	  7.350e+000 	
         4.159	  8.060e+000 	
         4.224	  8.720e+000 	
         4.287	  9.330e+000 	
         4.352	  9.880e+000 	
         4.416	  1.038e+001 	
         4.479	  1.083e+001 	
         4.543	  1.122e+001 	
         4.640	  1.157e+001 	
         4.703	  1.187e+001 	
         4.767	  1.213e+001 	
         4.832	  1.235e+001 	
         4.895	  1.254e+001 	
         4.959	  1.270e+001 	
         5.023	  1.284e+001 	
         5.087	  1.295e+001 	
         5.152	  1.305e+001 	
         5.216	  1.313e+001 	
         5.279	  1.319e+001 	
         5.343	  1.325e+001 	
         5.439	  1.329e+001 	
         5.503	  1.333e+001 	
         5.567	  1.335e+001 	
         5.631	  1.338e+001 	
         5.696	  1.340e+001 	
         5.759	  1.341e+001 	
         5.823	  1.342e+001 	
         5.887	  1.343e+001 	
         5.951	  1.343e+001 	
         6.015	  1.344e+001 	
         6.080	  1.344e+001 	
         6.143	  1.344e+001 	
         6.239	  1.344e+001 	
         6.304	  1.343e+001 	
         6.367	  1.343e+001 	
         6.431	  1.342e+001 	
         6.495	  1.342e+001 	
         6.559	  1.341e+001 	
         6.623	  1.341e+001 	
         6.688	  1.340e+001 	
         6.751	  1.339e+001 	
         6.815	  1.338e+001 	
         6.879	  1.337e+001 	
         6.943	  1.336e+001 	
         7.040	  1.335e+001 	
         7.104	  1.335e+001 	
         7.167	  1.334e+001 	
         7.231	  1.333e+001 	
