;PC Software:StarLab Version 3.31 Build 2
! ******* Warning: Do not modify this file. Changes may prevent   ********
! ******* the StarLab Log reader from opening the file correctly. ********
;Logged:09/02/2024 at 09:51:42
;File Version:5
;Time Resolution:1 microseconds
;Log Settings:Stop after:period: 00:07:30
;Graph Mode:Merge
;Graph Type:Line
;Notes:                                                            

;Channel A:Nova II Thermopile F150A-BB-26 (s/n:764799)  NN2.55 (s/n:756294)

;Channel A:Details
;Name:F150A-BB-26
;Graph Color:RGB(14,104,168)
;Units:W
;Settings:Measuring:Power
;Settings:Laser:.8-6
;Settings:Range:30.0W

;Channel A:Statistics
;Min:60.00mW             
;Max:15.70W              
;Average:14.80W              
;Std.Dev.:1.378W              
;Overrange:0                   
;--------------------


;First Pulse Arrived : 09/02/2024 at 09:51:42.962000
  Timestamp   	  Channel A  	
         0.000	  6.000e-002 	
         0.063	  6.000e-002 	
         0.128	  6.000e-002 	
         0.191	  6.000e-002 	
         0.255	  6.000e-002 	
         0.320	  6.000e-002 	
         0.384	  6.000e-002 	
         0.448	  6.000e-002 	
         0.511	  6.000e-002 	
         0.576	  6.000e-002 	
         0.640	  6.000e-002 	
         0.703	  6.000e-002 	
         0.768	  6.000e-002 	
         0.863	  6.000e-002 	
         0.928	  6.000e-002 	
         0.991	  6.000e-002 	
         1.055	  6.000e-002 	
         1.119	  6.000e-002 	
         1.183	  6.000e-002 	
         1.248	  6.000e-002 	
         1.312	  6.000e-002 	
         1.376	  6.000e-002 	
         1.440	  6.000e-002 	
         1.503	  6.000e-002 	
         1.567	  6.000e-002 	
         1.663	  6.000e-002 	
         1.727	  6.000e-002 	
         1.792	  6.000e-002 	
         1.856	  6.000e-002 	
         1.919	  6.000e-002 	
         1.984	  6.000e-002 	
         2.047	  6.000e-002 	
         2.111	  6.000e-002 	
         2.176	  6.000e-002 	
         2.240	  6.000e-002 	
         2.304	  6.000e-002 	
         2.367	  6.000e-002 	
         2.464	  6.000e-002 	
         2.527	  6.000e-002 	
         2.592	  6.000e-002 	
         2.656	  6.000e-002 	
