;PC Software:StarLab Version 3.60 Build 9
! ******* Warning: Do not modify this file. Changes may prevent   ********
! ******* the StarLab Log reader from opening the file correctly. ********
;Logged:16/01/2024 at 16:31:06
;File Version:5
;Time Resolution:1 microseconds
;Log Settings:Stop after:period: 00:08:00
;Log Settings:Sample:of period: 00:00:01
;Graph Mode:Merge
;Graph Type:Line
;Notes:                                                            

;Channel A:Nova II Thermopile F150A-BB-26 (s/n:764799)  NN2.55 (s/n:756294)

;Channel A:Details
;Name:F150A-BB-26
;Graph Color:RGB(14,104,168)
;Units:W
;Settings:Measuring:Power
;Settings:Laser:.8-6
;Settings:Range:30.0W

;Channel A:Statistics
;Min:1.310W              
;Max:15.44W              
;Average:13.26W              
;Std.Dev.:730.4mW             
;Overrange:0                   
;--------------------


;First Pulse Arrived : 16/01/2024 at 16:31:06
  Timestamp   	  Channel A  	
         0.000	  1.310e+00 	
         1.024	  1.339e+01 	
         2.016	  1.544e+01 	
         3.008	  1.520e+01 	
         4.000	  1.499e+01 	
         5.088	  1.487e+01 	
         6.015	  1.474e+01 	
         7.007	  1.478e+01 	
         8.064	  1.482e+01 	
         9.056	  1.474e+01 	
        10.016	  1.461e+01 	
        11.007	  1.465e+01 	
        12.063	  1.463e+01 	
        13.056	  1.451e+01 	
        14.016	  1.451e+01 	
        15.007	  1.455e+01 	
        16.000	  1.445e+01 	
        17.056	  1.445e+01 	
        18.016	  1.450e+01 	
        19.008	  1.441e+01 	
        20.063	  1.438e+01 	
        21.056	  1.439e+01 	
        22.015	  1.432e+01 	
        23.008	  1.432e+01 	
        24.063	  1.430e+01 	
        25.055	  1.428e+01 	
        26.015	  1.429e+01 	
        27.008	  1.425e+01 	
        28.000	  1.423e+01 	
        29.056	  1.421e+01 	
        30.015	  1.413e+01 	
        31.008	  1.416e+01 	
        32.000	  1.414e+01 	
        33.055	  1.409e+01 	
        34.015	  1.417e+01 	
        35.008	  1.409e+01 	
        36.000	  1.405e+01 	
        37.056	  1.415e+01 	
        38.080	  1.402e+01 	
        39.007	  1.400e+01 	
        40.000	  1.409e+01 	
        41.055	  1.398e+01 	
        42.079	  1.398e+01 	
        43.008	  1.406e+01 	
        44.000	  1.395e+01 	
        45.055	  1.395e+01 	
        46.080	  1.402e+01 	
        47.008	  1.390e+01 	
        48.000	  1.389e+01 	
        49.055	  1.396e+01 	
        50.047	  1.386e+01 	
        51.008	  1.388e+01 	
        52.063	  1.395e+01 	
        53.055	  1.385e+01 	
