;PC Software:StarLab Version 3.31 Build 2
! ******* Warning: Do not modify this file. Changes may prevent   ********
! ******* the StarLab Log reader from opening the file correctly. ********
;Logged:12/06/2023 at 14:16:50
;File Version:5
;Time Resolution:1 microseconds
;Log Settings:Stop after:period: 00:07:30
;Graph Mode:Merge
;Graph Type:Line
;Notes:                                                            

;Channel A:Nova II Thermopile F150A-BB-26 (s/n:764822)  NN2.54 (s/n:664279)

;Channel A:Details
;Name:F150A-BB-26
;Graph Color:RGB(14,104,168)
;Units:W
;Settings:Measuring:Power
;Settings:Laser:.8-6
;Settings:Range:AUTO

;Channel A:Statistics
;Min:23.00mW             
;Max:18.99W              
;Average:17.27W              
;Std.Dev.:1.607W              
;Overrange:0                   
;--------------------


;First Pulse Arrived : 12/06/2023 at 14:16:50.829000
  Timestamp   	  Channel A  	
         0.000	  2.600e-002 	
         0.065	  2.600e-002 	
         0.129	  2.500e-002 	
         0.192	  2.500e-002 	
         0.256	  2.500e-002 	
         0.321	  2.500e-002 	
         0.384	  2.500e-002 	
         0.449	  2.500e-002 	
         0.512	  2.500e-002 	
         0.576	  2.500e-002 	
         0.640	  2.500e-002 	
         0.704	  2.500e-002 	
         0.768	  2.500e-002 	
         0.832	  2.500e-002 	
         0.897	  2.500e-002 	
         0.960	  2.500e-002 	
         1.056	  2.500e-002 	
         1.120	  2.500e-002 	
         1.185	  2.500e-002 	
         1.249	  2.500e-002 	
         1.313	  2.500e-002 	
         1.376	  2.500e-002 	
         1.440	  2.500e-002 	
         1.504	  2.500e-002 	
         1.568	  2.500e-002 	
         1.632	  2.500e-002 	
         1.696	  2.500e-002 	
         1.761	  2.500e-002 	
         1.856	  2.500e-002 	
         1.920	  2.500e-002 	
         1.984	  2.500e-002 	
         2.049	  2.500e-002 	
         2.113	  2.500e-002 	
         2.176	  2.500e-002 	
         2.240	  2.500e-002 	
         2.305	  2.500e-002 	
         2.369	  2.400e-002 	
         2.433	  2.400e-002 	
         2.496	  2.400e-002 	
         2.561	  2.400e-002 	
         2.656	  2.400e-002 	
         2.720	  2.400e-002 	
         2.785	  2.400e-002 	
         2.848	  2.400e-002 	
         2.912	  2.400e-002 	
         2.976	  2.400e-002 	
         3.040	  2.400e-002 	
         3.105	  2.300e-002 	
         3.169	  2.400e-002 	
         3.232	  4.700e-002 	
         3.296	  1.330e-001 	
         3.361	  3.170e-001 	
         3.456	  6.280e-001 	
         3.520	  1.077e+000 	
         3.585	  1.665e+000 	
         3.649	  2.381e+000 	
         4.096	  9.810e+000 	
         4.160	  1.149e+001 	
         4.256	  1.291e+001 	
         4.320	  1.412e+001 	
         4.385	  1.512e+001 	
         4.448	  1.595e+001 	
         4.512	  1.663e+001 	
         4.577	  1.719e+001 	
         4.640	  1.763e+001 	
         4.704	  1.799e+001 	
         4.768	  1.827e+001 	
         4.832	  1.849e+001 	
         4.896	  1.865e+001 	
         4.961	  1.878e+001 	
         5.056	  1.886e+001 	
         5.120	  1.893e+001 	
         5.184	  1.896e+001 	
         5.248	  1.899e+001 	
         5.313	  1.899e+001 	
         5.376	  1.899e+001 	
         5.440	  1.898e+001 	
         5.504	  1.896e+001 	
         5.569	  1.894e+001 	
         5.633	  1.891e+001 	
         5.696	  1.889e+001 	
         5.761	  1.886e+001 	
         5.856	  1.883e+001 	
         5.921	  1.880e+001 	
         5.985	  1.877e+001 	
         6.049	  1.875e+001 	
         6.112	  1.872e+001 	
         6.176	  1.870e+001 	
         6.241	  1.867e+001 	
         6.304	  1.865e+001 	
         6.368	  1.863e+001 	
         6.432	  1.861e+001 	
         6.496	  1.859e+001 	
         6.561	  1.857e+001 	
         6.656	  1.856e+001 	
         6.720	  1.854e+001 	
         6.784	  1.853e+001 	
         6.848	  1.851e+001 	
         6.912	  1.850e+001 	
         6.977	  1.849e+001 	
         7.040	  1.848e+001 	
         7.105	  1.847e+001 	
         7.168	  1.846e+001 	
         7.232	  1.845e+001 	
         7.296	  1.844e+001 	
         7.361	  1.844e+001 	
         7.425	  1.843e+001 	
         7.521	  1.843e+001 	
         7.584	  1.843e+001 	
         7.648	  1.842e+001 	
         7.713	  1.842e+001 	
         7.776	  1.842e+001 	
         7.840	  1.841e+001 	
         7.905	  1.841e+001 	
         7.968	  1.841e+001 	
         8.032	  1.841e+001 	
         8.097	  1.840e+001 	
         8.160	  1.840e+001 	
         8.257	  1.840e+001 	
         8.321	  1.840e+001 	
         8.385	  1.840e+001 	
         8.449	  1.840e+001 	
         8.512	  1.839e+001 	
         8.576	  1.839e+001 	
         8.640	  1.839e+001 	
         8.704	  1.839e+001 	
         8.768	  1.838e+001 	
         8.832	  1.838e+001 	
         8.897	  1.838e+001 	
         8.960	  1.837e+001 	
         9.024	  1.837e+001 	
         9.120	  1.837e+001 	
         9.184	  1.837e+001 	
         9.249	  1.837e+001 	
         9.313	  1.837e+001 	
         9.377	  1.837e+001 	
         9.440	  1.837e+001 	
         9.504	  1.837e+001 	
         9.568	  1.837e+001 	
         9.632	  1.837e+001 	
         9.697	  1.837e+001 	
         9.760	  1.837e+001 	
         9.824	  1.837e+001 	
         9.920	  1.837e+001 	
         9.985	  1.837e+001 	
        10.049	  1.837e+001 	
        10.112	  1.837e+001 	
        10.177	  1.837e+001 	
        10.241	  1.838e+001 	
        10.304	  1.838e+001 	
        10.368	  1.838e+001 	
        10.432	  1.838e+001 	
        10.496	  1.838e+001 	
        10.560	  1.839e+001 	
        10.625	  1.839e+001 	
        10.720	  1.839e+001 	
        10.785	  1.839e+001 	
        10.849	  1.840e+001 	
        10.912	  1.840e+001 	
        10.977	  1.840e+001 	
        11.041	  1.840e+001 	
        11.104	  1.840e+001 	
        11.169	  1.840e+001 	
        11.233	  1.840e+001 	
        11.296	  1.840e+001 	
        11.360	  1.840e+001 	
        11.424	  1.840e+001 	
        11.520	  1.840e+001 	
        11.584	  1.839e+001 	
        11.648	  1.839e+001 	
        11.712	  1.838e+001 	
        11.776	  1.838e+001 	
        11.841	  1.837e+001 	
        11.904	  1.837e+001 	
        11.968	  1.836e+001 	
        12.032	  1.836e+001 	
        12.096	  1.835e+001 	
        12.160	  1.835e+001 	
        12.224	  1.835e+001 	
        12.320	  1.834e+001 	
        12.385	  1.834e+001 	
        12.448	  1.834e+001 	
        12.513	  1.833e+001 	
        12.577	  1.833e+001 	
        12.640	  1.833e+001 	
        12.704	  1.833e+001 	
        12.769	  1.832e+001 	
        12.833	  1.832e+001 	
        12.896	  1.832e+001 	
        12.961	  1.831e+001 	
        13.024	  1.831e+001 	
        13.120	  1.831e+001 	
        13.184	  1.830e+001 	
        13.248	  1.830e+001 	
        13.312	  1.830e+001 	
        13.376	  1.830e+001 	
        13.440	  1.829e+001 	
        13.505	  1.829e+001 	
        13.569	  1.829e+001 	
        13.632	  1.829e+001 	
        13.696	  1.829e+001 	
        13.760	  1.829e+001 	
        13.825	  1.829e+001 	
        13.921	  1.829e+001 	
        13.984	  1.829e+001 	
        14.048	  1.829e+001 	
        14.112	  1.829e+001 	
        14.177	  1.829e+001 	
        14.241	  1.829e+001 	
        14.305	  1.829e+001 	
        14.368	  1.830e+001 	
        14.432	  1.830e+001 	
        14.497	  1.830e+001 	
        14.561	  1.831e+001 	
        14.624	  1.831e+001 	
        14.721	  1.831e+001 	
        14.784	  1.832e+001 	
        14.849	  1.832e+001 	
        14.912	  1.832e+001 	
        14.976	  1.832e+001 	
        15.040	  1.832e+001 	
        15.105	  1.832e+001 	
        15.168	  1.832e+001 	
        15.232	  1.832e+001 	
        15.297	  1.832e+001 	
        15.361	  1.831e+001 	
        15.424	  1.831e+001 	
        15.520	  1.830e+001 	
        15.584	  1.830e+001 	
        15.648	  1.830e+001 	
        15.713	  1.829e+001 	
        15.776	  1.829e+001 	
        15.840	  1.828e+001 	
