,Part_number,Target_power_mean,Target_power_std,Print_ID_layer,Position,row,column,Galvo,Xcoor,Ycoor,Zcoor
0,1,16.281533140131003,1.2980135628642628,0_1,1,0,0,0,32.4,36.48,21.01
1,3,15.162354128595815,0.9123183401985371,0_1,3,0,0,0,89.52,36.48,21.01
2,5,15.471402977467342,1.25005344986564,0_1,5,0,0,0,146.64,36.48,21.01
3,7,14.000591609863354,0.9523502296877056,0_1,7,0,0,0,203.76,36.48,21.01
4,10,14.980603222592151,1.5572179028710649,0_1,10,0,0,0,296.16,36.48,21.01
5,12,14.710270587058572,1.0910399098621197,0_1,12,0,0,0,353.28,36.48,21.01
6,14,13.444698075303593,1.3635233256175947,0_1,14,0,0,0,410.4,36.48,21.01
7,16,15.092775392318828,2.2629644400252427,0_1,16,0,0,0,467.52,36.48,21.01
8,24,12.409847700910396,0.895063414551955,0_1,24,0,0,0,232.32,65.04,21.01
9,25,12.74180365133659,0.7020915601533974,0_1,25,0,0,0,267.6,65.04,21.01
10,49,13.793336084428558,0.4828615749887952,0_1,49,0,0,0,32.4,122.16,21.01
11,51,13.451279700067976,0.6518736174979148,0_1,51,0,0,0,89.52,122.16,21.01
12,53,13.742298586385429,0.3947411067294043,0_1,53,0,0,0,146.64,122.16,21.01
13,55,11.847079550907884,0.4822123300882413,0_1,55,0,0,0,203.76,122.16,21.01
14,58,12.375132705229266,0.6378746306030075,0_1,58,0,0,0,296.16,122.16,21.01
15,60,13.39078424406255,0.5533759099821548,0_1,60,0,0,0,353.28,122.16,21.01
16,62,12.178665847884975,0.7071529788417171,0_1,62,0,0,0,410.4,122.16,21.01
17,64,13.070280064460578,0.5881316263823575,0_1,64,0,0,0,467.52,122.16,21.01
18,84,13.457529562588528,0.5385908677709842,0_1,84,0,0,0,118.08,179.28,21.01
19,88,11.413252171762567,0.5546577099055812,0_1,88,0,0,0,232.32,179.28,21.01
20,89,11.297894526073046,0.658170230392079,0_1,89,0,0,0,267.6,179.28,21.01
21,93,12.214065182421468,0.6921066525079586,0_1,93,0,0,0,381.84,179.28,21.01
22,97,14.334215127037783,0.7448478839025617,0_1,97,0,0,0,32.4,207.84,21.01
23,99,13.756857915989197,0.8314079287771621,0_1,99,0,0,0,89.52,207.84,21.01
24,101,13.844406742277513,0.5509739319058495,0_1,101,0,0,0,146.64,207.84,21.01
25,103,12.06452235490618,0.5362632875362918,0_1,103,0,0,0,203.76,207.84,21.01
26,106,11.823927908450909,0.5585793459988361,0_1,106,0,0,0,296.16,207.84,21.01
27,108,12.91603491460401,0.5769245917391517,0_1,108,0,0,0,353.28,207.84,21.01
28,110,11.90684631986018,0.748504329541123,0_1,110,0,0,0,410.4,207.84,21.01
29,112,13.095011050792566,0.7230186334343466,0_1,112,0,0,0,467.52,207.84,21.01
30,136,12.613646272856489,0.43323922004696,0_1,136,0,0,0,232.32,264.96,21.01
31,137,12.216948554378355,0.5110708518194654,0_1,137,0,0,0,267.6,264.96,21.01
32,145,16.928498133255168,1.9021843240451088,0_1,145,0,0,0,32.4,293.52,21.01
33,147,16.07264817858215,2.6299429339831724,0_1,147,0,0,0,89.52,293.52,21.01
34,149,16.40708656786228,4.711837986378199,0_1,149,0,0,0,146.64,293.52,21.01
35,151,15.089615052137306,1.4013547992199342,0_1,151,0,0,0,203.76,293.52,21.01
36,154,13.877214556622926,0.7235682244222134,0_1,154,0,0,0,296.16,293.52,21.01
37,156,14.302658598122127,1.0602675504660537,0_1,156,0,0,0,353.28,293.52,21.01
38,158,13.138447599358654,0.6474232451995773,0_1,158,0,0,0,410.4,293.52,21.01
39,160,14.840192211637573,1.5094427531999315,0_1,160,0,0,0,467.52,293.52,21.01
40,161,15.176614333362238,0.9779336847238204,0_1,1,0,0,0,32.4,36.48,49.01
41,163,14.010562761124467,0.8818421030780113,0_1,3,0,0,0,89.52,36.48,49.01
42,165,14.047208967829963,0.758069585800314,0_1,5,0,0,0,146.64,36.48,49.01
43,167,12.77752448182258,1.0546805014808922,0_1,7,0,0,0,203.76,36.48,49.01
44,170,13.801749743221185,1.391229199277003,0_1,10,0,0,0,296.16,36.48,49.01
45,172,13.581015687014482,1.10483780834474,0_1,12,0,0,0,353.28,36.48,49.01
46,174,12.25143684566625,1.6378026090231441,0_1,14,0,0,0,410.4,36.48,49.01
47,176,13.721436545979346,1.60457064551431,0_1,16,0,0,0,467.52,36.48,49.01
48,184,11.336949235484731,0.9559590137352058,0_1,24,0,0,0,232.32,65.04,49.01
49,185,11.628657229671509,0.6872607957064457,0_1,25,0,0,0,267.6,65.04,49.01
50,209,12.967952138451313,0.6313367553706669,0_1,49,0,0,0,32.4,122.16,49.01
51,211,12.419391541665462,0.5331448028630479,0_1,51,0,0,0,89.52,122.16,49.01
52,213,12.445967791190386,0.42142932899968427,0_1,53,0,0,0,146.64,122.16,49.01
53,215,10.510865303796797,0.7131544550551077,0_1,55,0,0,0,203.76,122.16,49.01
54,218,11.042731968191761,0.8301034199912763,0_1,58,0,0,0,296.16,122.16,49.01
55,220,11.951897405292799,0.6117114971863353,0_1,60,0,0,0,353.28,122.16,49.01
56,222,10.780387437881627,0.7741753323972156,0_1,62,0,0,0,410.4,122.16,49.01
57,224,11.950804379093148,0.8409648422218257,0_1,64,0,0,0,467.52,122.16,49.01
58,244,11.916812888887561,0.6351200923111262,0_1,84,0,0,0,118.08,179.28,49.01
59,248,10.388688049691934,0.637618559219339,0_1,88,0,0,0,232.32,179.28,49.01
60,249,10.322812516446584,0.7377003364059455,0_1,89,0,0,0,267.6,179.28,49.01
61,253,10.601780275582323,0.9247331691085474,0_1,93,0,0,0,381.84,179.28,49.01
62,257,13.27065582064244,0.5722413459298294,0_1,97,0,0,0,32.4,207.84,49.01
63,259,12.362965935514596,0.6478561023801771,0_1,99,0,0,0,89.52,207.84,49.01
64,261,12.639694561256682,0.5005574410145405,0_1,101,0,0,0,146.64,207.84,49.01
65,263,11.001172411736817,0.7727684756782899,0_1,103,0,0,0,203.76,207.84,49.01
66,266,10.544227713819357,0.7817393668902635,0_1,106,0,0,0,296.16,207.84,49.01
67,268,11.516291140876197,0.6982154156655018,0_1,108,0,0,0,353.28,207.84,49.01
68,270,10.286488967409651,1.0770048639478698,0_1,110,0,0,0,410.4,207.84,49.01
69,272,12.188724981180785,0.8848829000747879,0_1,112,0,0,0,467.52,207.84,49.01
70,296,11.493317790489579,0.6243169514492729,0_1,136,0,0,0,232.32,264.96,49.01
71,297,10.947730336201936,0.794594073357483,0_1,137,0,0,0,267.6,264.96,49.01
72,305,15.656478635782989,1.301778386390972,0_1,145,0,0,0,32.4,293.52,49.01
73,307,14.783929538509689,0.7360302903468178,0_1,147,0,0,0,89.52,293.52,49.01
74,309,15.145132614581843,0.8251380685241257,0_1,149,0,0,0,146.64,293.52,49.01
75,311,13.906732953503852,0.6093792604609881,0_1,151,0,0,0,203.76,293.52,49.01
76,314,12.712316143043386,0.8005122771743853,0_1,154,0,0,0,296.16,293.52,49.01
77,316,13.055168541579388,0.6215154168866422,0_1,156,0,0,0,353.28,293.52,49.01
78,318,12.094429052791847,1.0109553636926585,0_1,158,0,0,0,410.4,293.52,49.01
79,320,13.736572831896826,1.0731171725907411,0_1,160,0,0,0,467.52,293.52,49.01
